T	mtheta	mH2	mH	alpha	Rate_Total	dec1	error1	prob1	dec2	error2	prob2	dec3	error3	prob3	dec4	error4	prob4	dec5	error5	prob5	dec6	error6	prob6	dec7	error7	prob7	dec8	error8	prob8	dec9	error9	prob9	dec10	error10	prob10	dec11	error11	prob11	dec12	error12	prob12
1.202486e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.944382e-47	0.000000e+00	0.000000e+00	1.000000e+00	7.183005e-3041	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	5.829772e-104	1.280580e-01	6.600925e-01	4.819472e-943	1.128231e-01	1.000000e+00	9.686896e-48	1.366038e-01	1.222615e-03	9.500321e-48	1.341136e-01	2.888479e-03	1.001828e-1310	0.000000e+00	4.940656e-324	4.369809e-111	1.340523e-01	7.950899e-01	2.566034e-49	1.490685e-01	3.936611e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.224865e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	2.220723e-47	0.000000e+00	0.000000e+00	1.000000e+00	1.026104e-2985	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.059687e-102	1.314659e-01	6.012925e-01	2.725045e-926	1.075934e-01	1.000000e+00	1.134309e-47	1.348500e-01	4.537130e-05	1.058260e-47	1.339120e-01	4.563990e-03	3.032306e-1287	0.000000e+00	0.000000e+00	1.065067e-109	1.330467e-01	7.753685e-01	2.815354e-49	1.669000e-01	3.858512e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.247660e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	2.534471e-47	0.000000e+00	0.000000e+00	1.000000e+00	1.447083e-2931	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.826600e-101	1.367990e-01	5.513738e-01	7.608334e-910	1.052531e-01	1.000000e+00	1.325553e-47	1.405177e-01	4.355305e-05	1.178026e-47	1.353315e-01	3.075350e-03	3.439786e-1264	0.000000e+00	0.000000e+00	2.449503e-108	1.345999e-01	8.239547e-01	3.089139e-49	1.533117e-01	4.925246e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.270879e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	2.890346e-47	0.000000e+00	0.000000e+00	1.000000e+00	2.085088e-2878	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.988237e-100	1.389227e-01	5.411588e-01	1.063156e-893	1.038639e-01	1.000000e+00	1.545897e-47	1.391790e-01	1.037141e-05	1.310554e-47	1.519401e-01	3.733019e-03	1.471651e-1241	0.000000e+00	0.000000e+00	5.315271e-107	1.311257e-01	7.856019e-01	3.389430e-49	1.521415e-01	4.475195e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.294530e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	3.294377e-47	0.000000e+00	0.000000e+00	1.000000e+00	3.227021e-2826	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	4.641078e-99	1.350744e-01	4.503769e-01	7.530300e-878	1.047953e-01	1.000000e+00	1.799446e-47	1.462650e-01	5.976143e-04	1.457743e-47	1.346134e-01	3.127016e-03	2.437500e-1219	0.000000e+00	0.000000e+00	1.090067e-105	1.288144e-01	7.605495e-01	3.718868e-49	1.520724e-01	3.951564e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.318621e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	3.751833e-47	0.000000e+00	0.000000e+00	1.000000e+00	5.526100e-2775	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.853524e-98	1.205943e-01	3.931221e-01	2.737067e-862	1.044682e-01	1.000000e+00	2.091041e-47	1.312874e-01	1.312094e-02	1.619974e-47	1.541511e-01	3.923028e-03	1.578816e-1197	0.000000e+00	0.000000e+00	2.114675e-104	1.283211e-01	6.629375e-01	4.081837e-49	1.707560e-01	8.834998e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.343161e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	4.269056e-47	0.000000e+00	0.000000e+00	1.000000e+00	1.094643e-2724	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	9.645217e-97	2.661190e-01	7.135113e-01	5.170306e-847	1.050850e-01	1.000000e+00	2.424551e-47	1.380897e-01	1.095882e-03	1.799741e-47	1.567469e-01	3.290246e-03	4.100388e-1176	0.000000e+00	0.000000e+00	3.885267e-103	1.252939e-01	6.339474e-01	4.476437e-49	1.493594e-01	3.267501e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.368158e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	4.854271e-47	0.000000e+00	0.000000e+00	1.000000e+00	2.575407e-2675	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.291676e-95	4.069641e-01	5.983048e-01	5.132741e-832	1.164106e-01	1.000000e+00	2.806687e-47	1.560151e-01	3.742991e-05	1.998473e-47	1.552035e-01	3.887792e-03	4.304962e-1155	0.000000e+00	0.000000e+00	6.770657e-102	1.444663e-01	5.751523e-01	4.911091e-49	1.494573e-01	3.804753e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.393619e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	5.516048e-47	0.000000e+00	0.000000e+00	1.000000e+00	7.759368e-2627	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.650064e-94	2.555227e-01	1.000000e+00	2.765698e-817	4.028293e-01	1.000000e+00	3.243648e-47	1.343274e-01	7.402112e-05	2.218522e-47	1.353408e-01	3.601473e-03	1.881642e-1134	0.000000e+00	0.000000e+00	1.118855e-100	1.386127e-01	5.219258e-01	5.387721e-49	1.561631e-01	5.619173e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.419555e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	6.261814e-47	0.000000e+00	0.000000e+00	1.000000e+00	3.025267e-2579	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.010783e-93	1.688313e-01	1.976385e-01	7.859340e-803	4.651963e-01	1.000000e+00	3.741863e-47	1.361731e-01	7.954201e-05	2.460843e-47	1.446053e-01	3.623062e-03	3.413166e-1114	0.000000e+00	0.000000e+00	1.756432e-99	1.456583e-01	5.674180e-01	5.910789e-49	1.497674e-01	4.436632e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
